1778s 袁绍举兵各地诸侯必然云集
1782s 我看咱们不如先投奔于他
1786s 公台兄
1790s 我觉得咱们肯定是要去见袁绍的
1792s 我觉得咱们肯定是要去见袁绍的
1794s 但是如果现在单枪匹马的去
1796s 不会得到重用
1798s 而且
1800s 我觉得袁绍并非明主
1810s 孟德兄此话何意啊
1812s 孟德兄此话何意啊
1814s 请问袁绍为何举兵
1820s 讨伐董卓锄贼扶汉
1826s 董卓之患又从何而来
1832s 君臣昏昏宦党擅权
1836s 以张让为首的十常侍把持朝政
1840s 当时何进为了剿除宦党
1842s 密令西凉诸侯率兵入京勤王
1844s 密令西凉诸侯率兵入京勤王
1848s 这才造成了董卓的祸乱
1850s 那你知道
1852s 召藩入京勤王这个主意
1854s 是谁出的吗
1856s 这个我倒不知道
1864s 是他向何进建议
1866s 密令西凉刺史董卓引军入京
1868s 密令西凉刺史董卓引军入京
1870s 后头的结果就有目共睹了
1872s 阎宦之祸倒是没有了
1874s 但是董卓之祸甚于阎宦之祸十倍
1876s 但是董卓之祸甚于阎宦之祸十倍
1880s 看来这袁本初真是徒有虚名
1882s 没有远见卓识啊
1888s 第一个便反对召藩入京勤王
1890s 第一个便反对召藩入京勤王
1892s 又是谁最早就看出董卓之祸
1894s 又是谁最早就看出董卓之祸
1896s 会甚于阎宦之祸的
1898s 不知道
1900s 我曹某
1904s 当日何进和袁绍商议此事
1906s 当日何进和袁绍商议此事
1908s 我就在边儿上
1912s 阎宦之祸古今皆有
1914s 但看天子是否贤明
1918s 只要有明主在朝
1920s 只需以迅雷不及掩耳之势
1922s 派一小吏便可将阎宦付之牢狱
1924s 派一小吏便可将阎宦付之牢狱
1926s 但是召藩入京勤王却万万不可
1928s 但是召藩入京勤王却万万不可
1932s 其结果断然是虎患大于狼害
1938s 他认为袁绍四世三公
1940s 肯定比我曹操有见识
1942s 结果呢
1944s 西凉军来了何进死了
1946s 袁绍跑了董卓祸害后宫
1948s 袁绍跑了董卓祸害后宫
1950s 茶毒天下
1956s 当初他们要是听了你曹孟德的话
1958s 当初他们要是听了你曹孟德的话
1960s 何至于今日啊
1964s 饿孵遍地虎狼横行
1968s 山河破碎民不聊生
1970s 这就是他们
1974s 不听我曹操的话的下场
