0s 第八十四集
990s 朕年近四旬
1005s 如果吴蜀之间
1007s 不但不生裂隙
1017s 联伐吴之志已决断不更改
1020s 朕伐吴之志已决断不更改
1025s 司马懿联不降罪于你
1027s 司马懿朕不降罪于你
1040s 朕要议兵了
1075s 关门
1082s 父亲你为何劝下罢兵
1085s 那那不是自寻其辱吗
1087s 我若不进谏
1090s 陛下更要降罪于我
1092s 什么难道伐吴之役会失败
1095s 必败无疑
1100s 此时此刻陛下建功之心
1102s 犹如当年伐吴的刘备
1112s 必然会在陛下伐吴之时
1115s 遣上一上将
1122s 我是说也得罪不说也得罪
1125s 既然罪责难辞
1130s 省得人家攻计我心怀奸诈
1135s 父亲自取今日小罪
1137s 以免日后大祸
1140s 儿钦佩之至
1157s 不出司马懿所料
1160s 曹丕御驾亲征之际
1162s 蜀将赵云率军出阳平关
1165s 蜀将赵云率军出阳平关
1170s 陆逊也率军出战
1175s 魏帝曹丕败军折将
1177s 几乎亡命
1227s 仲达坐这来
1250s 看见了吧
1255s 朕十七岁就患上了肺疾
1257s 久治不愈
1265s 越发严重了
1270s 这事臣一点也不知道
1272s 非但你不知道
1277s 连先帝都不知道
1285s 先帝要知道我命不长久
1290s 还能让我继承大位吗
1297s 仲达现在你明白
1300s 仲达现在你明白
1305s 我为何要急于伐吴了吗
1312s 说说我听听
1315s 陛下是想在有生之年
1317s 奠定功名大业
1320s 说得对呀
1327s 朕要早点听你的劝阻
1335s 但朕此生也只是个
1342s 陛下伐吴为何不让臣去呢
1350s 能为陛下沙场建功啊
1355s 联会用你的
1362s 只有你只有你
1365s 是诸葛亮的对手
1375s 朕想问你一句话
1377s 朕想问你一句话
1387s 你掌兵之后有谁制你
1390s 你掌兵之后有谁制你
1417s 此生此世永不掌兵
1442s 司马懿尽忠王室二十五年
1445s 司马懿尽忠王室二十五年
1447s 勤勉辅政智勇超群
1450s 任劳任怨坚忍不拔
1452s 即加授骠骑大将军一职
1455s 即加授骠骑大将军一职
1457s 与大将军曹真大司马曹休
1460s 与大将军曹真大司马曹休
1462s 共同执掌魏国军政钦此
1465s 共同执掌魏国军政钦此
1480s 仲达仲达仲达啊
1482s 仲达达仲达仲达啊
1495s 好生辅佐
1510s 臣遵旨
1527s 朕累了退下吧
1530s 朕累了退下吧
1532s 朕累了退下吧
1562s 魏帝曹丕在位七年
1565s 无功而逝斤享年四十
1567s 无功而逝斤享年四十
1590s 老爷羹好了
