0s 第人十五集
1000s 可家父拔剑怒斥
1002s 说我如果敢逃便立刻斩我
1005s 提臣的首级向陛下请罪
1007s 提臣的首级向陛下请罪
1015s 26
1020s 司马懿
1022s 朕念你与先帝和皇祖有旧
1025s 朕念你与先帝和皇祖有旧
1027s 暂免你一死
1030s 但是要罢夺你全部官职
1035s 返回故城没有联的旨意
1040s 臣谢恩
1042s 全部兵权交与曹休
1045s 四伯啊联令你镇守雍凉
1047s 四伯啊联令你镇守雍凉
1050s 臣遵旨
1055s 父亲你真打算终老故乡吗
1060s 生于斯死于斯
1065s 太平终老难得之幸也
1070s 几十年心血毁于一旦
1072s 能活着回去就不错
1232s 你们看你们看
1235s 夏侯口口声声说
1237s 要生擒诸葛亮结果如何
1245s 联的颜面何在
1250s 还有呢蜀军偏师伴动斜谷
1252s 诸葛亮率大军出祁山
1255s 渡渭水直逼长安
1262s 大司马曹休苍煌奔逃
1265s 弃守雍凉
1272s 照此下去不出数月
1277s 烹陛下老臣早就说过
1280s 夏侯驸马非诸葛亮之敌
1282s 欲胜诸葛亮
1285s 非大将军曹真出马不可
1290s 陛下臣才疏智浅
1292s 三叔啊先帝曾托孤于卿
1295s 三叔啊先帝曾托孤于卿
1297s 如今亡国灭种之祸
1300s 追迫在眉睫你安心坐视不管
1305s 大将军乃社稷之臣
1310s 老臣愿随大将军出征
1312s 迎战诸葛亮
1320s 即请出任军师
1325s 老爱卿你已七十六岁了
1330s 陛下臣虽年老但志不老
1332s 人言诸葛亮近妖
1335s 臣偏不信这个邪
1337s 早就想擒妖拿魔
1340s 与诸葛亮阵前一斗
1342s 看看是魔高还是道高
1347s 朕拜曹真为大都督
1350s RG王朗为军师
1352s 赐天子节铖拨二十万兵马
1355s 出战诸葛亮
1362s 诸葛亮果然名不虚传
1367s 其阵式暗藏诸多玄机呀
1370s 军师有何对策
1372s 吾闻诸葛亮能言善辩
1375s 请将军唤他出来
1377s 让我先骂他一顿
1380s 待他的锐气挫下之后
1385s 将军再与之交战
1387s 好来人叫阵
1395s 魏司徒王朗
1420s 王朗久闻足下大名
1422s 今幸一会
1425s 闻足下自称知天命识时务
1427s 闻足下自称知天命识时务
1430s 何故兴此无名无义之兵
1432s 何故兴此无名无义之兵
1435s 吾奉诏讨贼何谓无名
