6s 风云超处艺黄变化
476s 这和真正的天子又有什么区别
478s 这和真正的天子又有什么区别
480s 所以主公应该整军备战
482s 迅速兼并青幽
484s 切勿分心旁鹭啊
492s 我意已决
494s 不奉天子诏令
498s 集中精力整军备战
502s 等秋收过后粮饱备足
504s 等秋收过后粮饷备足
506s 即刻发兵进取幽州
508s 即刻发兵进取幽州
512s 遵命
520s 主公短见啊庸臣误国
522s 主公短见啊庸臣误国
524s 一只小小的传国玉玺
526s 一只小小的传国玉玺
528s 各路诸侯尚且争来抢去
530s 各路诸侯尚且争来抢去
532s 可一个活生生的皇帝
536s 却怎么没人要呢
546s 主是庸主
550s 臣是倭臣
552s 臣是倭臣
576s 痛快痛快你们看
580s 咱们跟太阳一块登上芒砀山了
584s 已经一天一夜走了五百多里了
586s 这人不累马也累了
588s 咱们还是歇息歇息吧
590s 行那就稍歇片刻
592s 行那就稍歇片刻
594s 等日上三竿的时候继续出发
596s 等日上三竿的时候继续出发
600s 袁绍有什么动静
604s 袁绍没有奉旨前来护驾
608s 袁绍离芒砀山如此的近
610s 可是他却没有来
612s 人昏庸到这个地步
614s 真是叫人喜欢呀
616s 袁术和刘表呢
618s 南阳的袁术没有行动
622s 荆州的探哨回报也没有到
624s 估计他们也不可能前来护驾
628s 看来天子非我莫属了
630s 怎么
632s 我的意思是说
634s 看来救驾的非我不可了
636s 看来救驾的非我不可了
640s 主公主公
642s 主公主公
644s 山下驿道发现车辙印
648s 轮间尺幅有多宽
650s 轮间尺幅六尺六
652s 六尺六不好
654s 天子的坐驾已经过去了
656s 马上出发全力追赶
658s 主公从车辙上看
660s 这车已经驾过去很长时间了
662s 咱们要是追不上怎么办
664s 追不上
666s 你就是给我追到洛阳城
668s 追到长乐宫追到上天入地
670s 也要把天子给我追到手
672s 听到了吗
688s 说太阳到了三竿咱们再出发呢
692s 可在我这儿看还不到两竿
694s 我说三竿就三竿你说没用
708s 洛阳
714s 陛下陛下陛下慢点儿
724s 来小心一点儿陛下
736s 陛下我们总算是回来了
738s 陛下我们总算是回来了
744s 陛下陛下陛下来
758s 先坐一会儿吧
776s 这一路的奔波总算是回来了
778s 这一路的奔波总算是回来了
782s 朕渴朕饿
784s 朕渴朕饿
810s 下整座皇城都找遍了
812s 下整座皇城都找遍了
814s 没有水连护城河都干了
816s 没有水连护城河都干了
824s 陛下祖宗保佑
828s 最艰难的时候都过去了
832s 陛下这次咱们重返东都
834s 陆下这次咱们重返东都
836s 定能振兴大汉哪
838s 定能振兴大汉哪
842s 恭喜皇上回朝
844s 恭喜皇上回朝
852s 李催和郭记追来了没有
854s 陛下放心
856s 早被我们甩到八百里以外去了
858s 早被我们甩到八百里以外去了
864s 报不好了皇上不好了
866s 报不好了皇上不好了
868s 不好了皇上不好了
872s 城东出现了大批的兵马
874s 快要进关了皇上
876s 追来了追来了
878s 陛下陛下
880s 爱卿爱卿怎么办哪
882s 陛下陛下
884s 上天无路入地无门哪
886s 上天无路入地无门哪
894s 睁开眼看看皇朝的子孙吧
896s 睁开眼看看皇朝的子孙吧
898s 睁开眼看看皇朝的子孙吧
